25,300
45,161,8,151,50,219,247,181,212,-1,281,255,228,-1,-1,276
54,65,79,18,182,159,206,147,232,-1,234,195,-1,-1,-1,-1
21,253,149,83,132,-1,185,93,139,-1,239,-1,166,-1,-1,-1
143,125,58,254,209,208,117,257,286,241,157,263,291,298,198,272
15,90,3,4,86,133,94,14,-1,222,267,194,-1,299,-1,242
10,135,141,46,180,211,170,167,238,225,-1,-1,-1,-1,-1,30
9,1,260,31,63,35,-1,188,85,40,-1,273,105,148,-1,204
104,28,25,-1,218,144,34,-1,295,176,152,-1,-1,223,203,240
162,271,91,116,-1,250,109,129,-1,269,134,-1,-1,210,-1,41
102,89,6,78,270,136,16,-1,201,168,-1,-1,258,283,-1,279
73,84,-1,-1,107,-1,-1,-1,121,-1,-1,-1,193,-1,237,262
158,66,268,293,226,80,282,-1,287,108,-1,-1,-1,227,7,13
256,55,-1,231,-1,100,-1,-1,-1,156,-1,-1,-1,191,32,122
36,72,205,123,235,215,246,128,248,280,-1,-1,259,-1,97,64
165,12,224,153,202,155,-1,174,-1,173,-1,221,-1,48,5,177
200,88,290,60,87,-1,114,112,154,-1,-1,244,-1,-1,261,77
59,164,22,19,216,53,-1,98,217,137,-1,138,274,249,-1,23
68,29,33,131,142,47,163,196,199,175,264,266,-1,297,115,42
187,160,24,71,113,26,92,236,186,49,103,-1,284,75,111,37
51,62,150,69,-1,189,-1,120,-1,285,-1,278,-1,-1,-1,106
44,67,57,-1,130,101,76,-1,245,277,190,-1,289,292,251,39
70,296,0,214,184,-1,52,243,275,-1,74,-1,-1,-1,192,43
-1,17,11,96,-1,81,207,119,-1,140,288,183,-1,-1,294,99
230,2,82,179,-1,56,145,220,-1,118,172,229,-1,126,178,38
27,124,20,265,95,61,110,146,197,127,169,213,-1,252,171,233
